problem_text,answer,answer_type,standard_code,grade_level,difficulty,hints,solution_steps,topic,source_reference,license
"What is 8,000 - 3,456?","4544","integer","4.NBT.B.4","4","3","You'll need to borrow across zeros|Work from right to left","Borrow from thousands|8,000 becomes 7,9,9,10|10 - 6 = 4|9 - 5 = 4|9 - 4 = 5|7 - 3 = 4|Answer: 4,544","Multi-digit Subtraction","Public Domain","public_domain"
"What is 5,234 - 1,867?","3367","integer","4.NBT.B.4","4","3","Line up digits|Borrow when the top digit is smaller","4 - 7 needs borrowing|14 - 7 = 7|2 - 6 needs borrowing|12 - 6 = 6|1 - 8 needs borrowing|11 - 8 = 3|5 - 1 - 1 = 3|Answer: 3,367","Multi-digit Subtraction","Public Domain","public_domain"
"What is 234 × 6?","1404","integer","4.NBT.B.5","4","2","Multiply each digit by 6|Start from the ones place|Add carried numbers","6 × 4 = 24, write 4 carry 2|6 × 3 = 18, + 2 = 20, write 0 carry 2|6 × 2 = 12, + 2 = 14|Answer: 1,404","Multi-digit Multiplication","Public Domain","public_domain"
"What is 1,245 × 7?","8715","integer","4.NBT.B.5","4","3","Multiply each digit by 7|Remember to carry","7 × 5 = 35, write 5 carry 3|7 × 4 = 28, + 3 = 31, write 1 carry 3|7 × 2 = 14, + 3 = 17, write 7 carry 1|7 × 1 = 7, + 1 = 8|Answer: 8,715","Multi-digit Multiplication","Public Domain","public_domain"
"What is 3,052 × 4?","12208","integer","4.NBT.B.5","4","2","Multiply each digit by 4|Don't forget the zero","4 × 2 = 8|4 × 5 = 20, write 0 carry 2|4 × 0 = 0, + 2 = 2|4 × 3 = 12|Answer: 12,208","Multi-digit Multiplication","Public Domain","public_domain"
"Write an equivalent fraction for 1/2 with denominator 8","4/8","fraction","4.NF.A.1","4","2","Multiply both numerator and denominator by the same number|What times 2 equals 8?","2 × 4 = 8|So multiply numerator by 4 too|1 × 4 = 4|1/2 = 4/8","Equivalent Fractions","Public Domain","public_domain"
"Are 2/3 and 6/9 equivalent fractions?","yes","expression","4.NF.A.1","4","2","Simplify 6/9 or scale up 2/3|Check if they're equal","6/9 ÷ 3/3 = 2/3|Or: 2/3 × 3/3 = 6/9|Yes, they are equivalent","Equivalent Fractions","Public Domain","public_domain"
"What is 3/8 + 2/8?","5/8","fraction","4.NF.B.3","4","1","Denominators are the same|Just add the numerators","3/8 + 2/8|= (3+2)/8|= 5/8","Adding Fractions - Like Denominators","Public Domain","public_domain"
"What is 7/10 - 3/10?","4/10","fraction","4.NF.B.3","4","1","Denominators are the same|Subtract the numerators","7/10 - 3/10|= (7-3)/10|= 4/10 or 2/5","Subtracting Fractions - Like Denominators","Public Domain","public_domain"
"What is 5/6 - 1/6?","4/6","fraction","4.NF.B.3","4","1","Same denominators|Subtract numerators","5/6 - 1/6|= (5-1)/6|= 4/6 or 2/3","Subtracting Fractions - Like Denominators","Public Domain","public_domain"
"Write 7/10 as a decimal","0.7","decimal","4.NF.C.6","4","1","Denominator is 10|Move decimal one place","7/10 = 7 ÷ 10|= 0.7","Decimals and Fractions","Public Domain","public_domain"
"Write 0.45 as a fraction","45/100","fraction","4.NF.C.6","4","2","Count decimal places|45 hundredths","0.45 = 45 hundredths|= 45/100|= 9/20 simplified","Decimals and Fractions","Public Domain","public_domain"
"Write 23/100 as a decimal","0.23","decimal","4.NF.C.6","4","1","Denominator is 100|Two decimal places","23/100 = 23 ÷ 100|= 0.23","Decimals and Fractions","Public Domain","public_domain"
"Evaluate: 3 × (4 + 5)","27","integer","5.OA.A.1","5","2","Do parentheses first|Then multiply","4 + 5 = 9|3 × 9 = 27","Order of Operations","Public Domain","public_domain"
"Evaluate: (8 - 3) × 6 + 2","32","integer","5.OA.A.1","5","3","Parentheses first|Then multiply|Then add","8 - 3 = 5|5 × 6 = 30|30 + 2 = 32","Order of Operations","Public Domain","public_domain"
"Evaluate: 24 ÷ (2 + 6)","3","integer","5.OA.A.1","5","2","Parentheses first|Then divide","2 + 6 = 8|24 ÷ 8 = 3","Order of Operations","Public Domain","public_domain"
"Evaluate: 5 + 3 × 4","17","integer","5.OA.A.1","5","2","Multiply before adding|No parentheses changes order","3 × 4 = 12|5 + 12 = 17","Order of Operations","Public Domain","public_domain"
"What is 45 × 23?","1035","integer","5.NBT.B.5","5","2","Use standard algorithm|Multiply by ones, then tens|Add the partial products","45 × 3 = 135|45 × 20 = 900|135 + 900 = 1,035","Multi-digit Multiplication","Public Domain","public_domain"
"What is 67 × 34?","2278","integer","5.NBT.B.5","5","3","Multiply by 4, then by 30|Add partial products","67 × 4 = 268|67 × 30 = 2,010|268 + 2,010 = 2,278","Multi-digit Multiplication","Public Domain","public_domain"
"What is 128 × 56?","7168","integer","5.NBT.B.5","5","3","Use standard algorithm|Be careful with carrying","128 × 6 = 768|128 × 50 = 6,400|768 + 6,400 = 7,168","Multi-digit Multiplication","Public Domain","public_domain"
"What is 1,344 ÷ 24?","56","integer","5.NBT.B.6","5","3","Use long division|How many 24s in 134?|Then bring down","24 goes into 134 five times (120)|134 - 120 = 14, bring down 4|24 goes into 144 six times|Answer: 56","Multi-digit Division","Public Domain","public_domain"
"What is 936 ÷ 12?","78","integer","5.NBT.B.6","5","2","Use long division|12 × 7 = 84|12 × 8 = 96","12 goes into 93 seven times (84)|93 - 84 = 9, bring down 6|12 goes into 96 eight times|Answer: 78","Multi-digit Division","Public Domain","public_domain"
"What is 1,875 ÷ 25?","75","integer","5.NBT.B.6","5","3","Use long division|25 × 7 = 175","25 goes into 187 seven times (175)|187 - 175 = 12, bring down 5|25 goes into 125 five times|Answer: 75","Multi-digit Division","Public Domain","public_domain"
"What is 3.45 + 2.7?","6.15","decimal","5.NBT.B.7","5","2","Line up decimal points|Add zeros if needed|3.45 + 2.70","3.45 + 2.70|= 6.15","Decimal Operations","Public Domain","public_domain"
"What is 5.8 - 2.35?","3.45","decimal","5.NBT.B.7","5","2","Line up decimals|5.80 - 2.35|Borrow if needed","5.80 - 2.35|= 3.45","Decimal Operations","Public Domain","public_domain"
"What is 2.5 × 0.4?","1.0","decimal","5.NBT.B.7","5","3","Multiply as whole numbers|Count total decimal places|25 × 4 = 100, two decimal places","25 × 4 = 100|Two decimal places total|Answer: 1.00 or 1","Decimal Operations","Public Domain","public_domain"
"What is 7.2 ÷ 0.8?","9","decimal","5.NBT.B.7","5","3","Make divisor a whole number|Multiply both by 10|72 ÷ 8","7.2 ÷ 0.8|= 72 ÷ 8|= 9","Decimal Operations","Public Domain","public_domain"
"What is 1/3 + 1/4?","7/12","fraction","5.NF.A.1","5","3","Find common denominator|LCD of 3 and 4 is 12|Convert and add","1/3 = 4/12|1/4 = 3/12|4/12 + 3/12 = 7/12","Adding Unlike Fractions","Public Domain","public_domain"
"What is 2/5 + 1/3?","11/15","fraction","5.NF.A.1","5","3","LCD of 5 and 3 is 15|Convert both fractions","2/5 = 6/15|1/3 = 5/15|6/15 + 5/15 = 11/15","Adding Unlike Fractions","Public Domain","public_domain"
"What is 3/4 - 1/3?","5/12","fraction","5.NF.A.1","5","3","LCD of 4 and 3 is 12|Convert and subtract","3/4 = 9/12|1/3 = 4/12|9/12 - 4/12 = 5/12","Subtracting Unlike Fractions","Public Domain","public_domain"
"What is 5/6 - 1/2?","2/6","fraction","5.NF.A.1","5","2","LCD of 6 and 2 is 6|Convert 1/2","5/6 - 3/6|= 2/6 or 1/3","Subtracting Unlike Fractions","Public Domain","public_domain"
"What is 3 × 2/5?","6/5","fraction","5.NF.B.4","5","2","Multiply the numerator by 3|Keep denominator same","3 × 2/5|= (3 × 2)/5|= 6/5 or 1 1/5","Multiplying Fractions","Public Domain","public_domain"
"What is 1/2 × 3/4?","3/8","fraction","5.NF.B.4","5","2","Multiply numerators|Multiply denominators","1/2 × 3/4|= (1×3)/(2×4)|= 3/8","Multiplying Fractions","Public Domain","public_domain"
"What is 2/3 × 4/5?","8/15","fraction","5.NF.B.4","5","2","Multiply across|Simplify if possible","2/3 × 4/5|= (2×4)/(3×5)|= 8/15","Multiplying Fractions","Public Domain","public_domain"
"What is 1/4 ÷ 2?","1/8","fraction","5.NF.B.7","5","2","Dividing by 2 is multiplying by 1/2|1/4 × 1/2","1/4 ÷ 2|= 1/4 × 1/2|= 1/8","Dividing Fractions","Public Domain","public_domain"
"What is 6 ÷ 1/2?","12","integer","5.NF.B.7","5","2","How many halves in 6?|Multiply by reciprocal","6 ÷ 1/2|= 6 × 2|= 12","Dividing Fractions","Public Domain","public_domain"
"What is 1/3 ÷ 4?","1/12","fraction","5.NF.B.7","5","2","Divide by 4 = multiply by 1/4|1/3 × 1/4","1/3 ÷ 4|= 1/3 × 1/4|= 1/12","Dividing Fractions","Public Domain","public_domain"
"Plot the point (3, 5) on a coordinate plane. Which quadrant is it in?","Quadrant I","expression","5.G.A.1","5","2","Positive x, positive y|Upper right quadrant","x = 3 (right 3)|y = 5 (up 5)|Quadrant I (both positive)","Coordinate Plane","Public Domain","public_domain"
"What are the coordinates of a point 4 units right and 2 units up from the origin?","(4, 2)","coordinate","5.G.A.1","5","1","Origin is (0,0)|Right is positive x|Up is positive y","Right 4: x = 4|Up 2: y = 2|Point: (4, 2)","Coordinate Plane","Public Domain","public_domain"
"Write the ratio 12 to 8 in simplest form","3 to 2","expression","6.RP.A.1","6","2","Find GCF of 12 and 8|Divide both by GCF","GCF of 12 and 8 is 4|12 ÷ 4 = 3|8 ÷ 4 = 2|Ratio: 3 to 2","Ratios","Public Domain","public_domain"
"In a class of 30 students, 18 are girls. What is the ratio of girls to boys?","18 to 12","expression","6.RP.A.1","6","2","Find number of boys first|30 - 18 = 12 boys","Boys = 30 - 18 = 12|Ratio girls:boys = 18:12|Simplified: 3:2","Ratios","Public Domain","public_domain"
"A recipe uses 3 cups flour for every 2 cups sugar. How much flour for 6 cups sugar?","9","integer","6.RP.A.1","6","3","Set up proportion|3/2 = x/6|Solve for x","3/2 = x/6|Cross multiply: 2x = 18|x = 9 cups flour","Ratios","Public Domain","public_domain"
"If 5 apples cost $3, what is the cost per apple?","0.60","decimal","6.RP.A.2","6","2","Divide total cost by number|$3 ÷ 5","$3 ÷ 5 apples|= $0.60 per apple","Unit Rates","Public Domain","public_domain"
"A car travels 240 miles in 4 hours. What is its speed in miles per hour?","60","integer","6.RP.A.2","6","2","Divide distance by time|miles ÷ hours = mph","240 miles ÷ 4 hours|= 60 mph","Unit Rates","Public Domain","public_domain"
"If 8 oranges cost $4, what is the unit price?","0.50","decimal","6.RP.A.2","6","2","Divide cost by quantity|$4 ÷ 8","$4 ÷ 8|= $0.50 per orange","Unit Rates","Public Domain","public_domain"
"What is 30% of 80?","24","integer","6.RP.A.3","6","2","Convert percent to decimal|30% = 0.30|Multiply","30% = 0.30|0.30 × 80 = 24","Ratio & Rate Problems","Public Domain","public_domain"
"A shirt costs $25 and is 20% off. What is the sale price?","20","integer","6.RP.A.3","6","3","Find 20% of $25|Subtract from original","20% of $25 = $5|$25 - $5 = $20","Ratio & Rate Problems","Public Domain","public_domain"
"If 15 is 25% of a number, what is the number?","60","integer","6.RP.A.3","6","3","15 = 0.25 × n|Divide to find n","15 = 0.25 × n|n = 15 ÷ 0.25|n = 60","Ratio & Rate Problems","Public Domain","public_domain"
"What is 2/3 ÷ 3/4?","8/9","fraction","6.NS.A.1","6","3","Multiply by reciprocal|2/3 × 4/3","2/3 ÷ 3/4|= 2/3 × 4/3|= 8/9","Dividing Fractions","Public Domain","public_domain"
"What is 5/6 ÷ 2/3?","5/4","fraction","6.NS.A.1","6","3","Flip and multiply|5/6 × 3/2","5/6 ÷ 2/3|= 5/6 × 3/2|= 15/12 = 5/4","Dividing Fractions","Public Domain","public_domain"
"How many 1/4 cups are in 3/4 cup?","3","integer","6.NS.A.1","6","2","Divide 3/4 by 1/4|How many quarters in three-quarters?","3/4 ÷ 1/4|= 3/4 × 4/1|= 3","Dividing Fractions","Public Domain","public_domain"
"What is 12.5 × 4.8?","60","decimal","6.NS.B.3","6","3","Multiply as whole numbers|125 × 48 = 6000|Two decimal places","125 × 48 = 6,000|Two decimal places|Answer: 60.00 or 60","Decimal Operations","Public Domain","public_domain"
"What is 45.6 ÷ 1.2?","38","decimal","6.NS.B.3","6","3","Make divisor whole|456 ÷ 12","45.6 ÷ 1.2|= 456 ÷ 12|= 38","Decimal Operations","Public Domain","public_domain"
"What is 8.4 × 2.5?","21","decimal","6.NS.B.3","6","3","Multiply 84 × 25|Two decimal places","84 × 25 = 2,100|Two decimal places|Answer: 21.00 or 21","Decimal Operations","Public Domain","public_domain"
"What is the opposite of -7?","7","integer","6.NS.C.6","6","1","Opposite means same distance from 0|But other side of number line","Opposite of -7|= -(-7)|= 7","Negative Numbers","Public Domain","public_domain"
"Which is greater: -5 or -2?","-2","integer","6.NS.C.6","6","2","On number line, right is greater|-2 is right of -5","-2 is closer to 0|Right on number line = greater|-2 > -5","Negative Numbers","Public Domain","public_domain"
"What is the absolute value of -12?","12","integer","6.NS.C.6","6","1","Distance from zero|Always positive","|-12| = 12|Distance from 0 is 12","Negative Numbers","Public Domain","public_domain"
"Write an expression for '5 more than x'","x + 5","expression","6.EE.A.2","6","1","'More than' means add|Add 5 to x","5 more than x|= x + 5","Writing Expressions","Public Domain","public_domain"
"Evaluate 3x + 7 when x = 4","19","integer","6.EE.A.2","6","2","Substitute x = 4|Then calculate","3(4) + 7|= 12 + 7|= 19","Writing Expressions","Public Domain","public_domain"
"Write an expression for 'twice a number decreased by 3'","2n - 3","expression","6.EE.A.2","6","2","Twice means multiply by 2|Decreased by means subtract","Twice a number: 2n|Decreased by 3: 2n - 3","Writing Expressions","Public Domain","public_domain"
"Solve: x + 8 = 15","7","integer","6.EE.B.7","6","1","Subtract 8 from both sides|Isolate x","x + 8 = 15|x + 8 - 8 = 15 - 8|x = 7","One-Step Equations","Public Domain","public_domain"
"Solve: 5x = 35","7","integer","6.EE.B.7","6","1","Divide both sides by 5|Isolate x","5x = 35|5x ÷ 5 = 35 ÷ 5|x = 7","One-Step Equations","Public Domain","public_domain"
"Solve: x - 12 = 25","37","integer","6.EE.B.7","6","1","Add 12 to both sides|Isolate x","x - 12 = 25|x - 12 + 12 = 25 + 12|x = 37","One-Step Equations","Public Domain","public_domain"
"Solve: x/4 = 9","36","integer","6.EE.B.7","6","2","Multiply both sides by 4|Isolate x","x/4 = 9|x = 9 × 4|x = 36","One-Step Equations","Public Domain","public_domain"
"If 1/2 mile takes 1/4 hour, what is the speed in miles per hour?","2","integer","7.RP.A.1","7","3","Divide distance by time|1/2 ÷ 1/4","(1/2) ÷ (1/4)|= 1/2 × 4/1|= 2 mph","Unit Rates with Fractions","Public Domain","public_domain"
"A recipe uses 2/3 cup sugar for 1/2 batch. How much for a full batch?","4/3","fraction","7.RP.A.1","7","3","If 1/2 batch needs 2/3 cup|Full batch needs double","(2/3) ÷ (1/2)|= 2/3 × 2/1|= 4/3 cups","Unit Rates with Fractions","Public Domain","public_domain"
"Is y = 4x a proportional relationship?","yes","expression","7.RP.A.2","7","2","Does it pass through origin?|Is there a constant ratio?","y = 4x passes through (0,0)|y/x = 4 for all points|Yes, it's proportional","Proportional Relationships","Public Domain","public_domain"
"Find the constant of proportionality if y = 7x","7","integer","7.RP.A.2","7","1","In y = kx, k is the constant|What number multiplies x?","y = 7x|k = 7|Constant of proportionality is 7","Proportional Relationships","Public Domain","public_domain"
"A $50 item has 8% tax. What is the total cost?","54","decimal","7.RP.A.3","7","2","Find 8% of $50|Add to original price","8% of $50 = $4|$50 + $4 = $54","Percent Problems","Public Domain","public_domain"
"A price increased from $40 to $50. What is the percent increase?","25","integer","7.RP.A.3","7","3","Find the change|Divide by original|Multiply by 100","Change = $50 - $40 = $10|$10 ÷ $40 = 0.25|0.25 × 100 = 25%","Percent Problems","Public Domain","public_domain"
"Find the simple interest on $200 at 5% for 2 years","20","integer","7.RP.A.3","7","3","I = P × r × t|P = 200, r = 0.05, t = 2","I = 200 × 0.05 × 2|I = $20","Percent Problems","Public Domain","public_domain"
"What is -5 + 8?","3","integer","7.NS.A.1","7","1","Start at -5|Move right 8","-5 + 8|Start at -5, go right 8|= 3","Adding Integers","Public Domain","public_domain"
"What is -3 + (-7)?","-10","integer","7.NS.A.1","7","2","Adding negatives|Same as -3 - 7","-3 + (-7)|= -3 - 7|= -10","Adding Integers","Public Domain","public_domain"
"What is 6 - (-4)?","10","integer","7.NS.A.1","7","2","Subtracting negative = adding|6 + 4","6 - (-4)|= 6 + 4|= 10","Subtracting Integers","Public Domain","public_domain"
"What is -8 - 5?","-13","integer","7.NS.A.1","7","2","Subtracting from negative|Goes more negative","-8 - 5|= -13","Subtracting Integers","Public Domain","public_domain"
"What is (-6) × 4?","-24","integer","7.NS.A.2","7","2","Negative × positive = negative|6 × 4 = 24","(-6) × 4|= -24","Multiplying Integers","Public Domain","public_domain"
"What is (-5) × (-3)?","15","integer","7.NS.A.2","7","2","Negative × negative = positive|5 × 3 = 15","(-5) × (-3)|= +15|= 15","Multiplying Integers","Public Domain","public_domain"
"What is (-24) ÷ (-6)?","4","integer","7.NS.A.2","7","2","Negative ÷ negative = positive|24 ÷ 6 = 4","(-24) ÷ (-6)|= +4|= 4","Dividing Integers","Public Domain","public_domain"
"What is 36 ÷ (-9)?","-4","integer","7.NS.A.2","7","2","Positive ÷ negative = negative|36 ÷ 9 = 4","36 ÷ (-9)|= -4","Dividing Integers","Public Domain","public_domain"
"Simplify: 4x + 3x","7x","expression","7.EE.A.1","7","1","Combine like terms|4 + 3 = 7","4x + 3x|= (4+3)x|= 7x","Combining Like Terms","Public Domain","public_domain"
"Simplify: 5x + 2 + 3x - 7","8x - 5","expression","7.EE.A.1","7","2","Combine x terms|Combine constants","5x + 3x = 8x|2 + (-7) = -5|= 8x - 5","Combining Like Terms","Public Domain","public_domain"
"Expand: 3(x + 4)","3x + 12","expression","7.EE.A.1","7","2","Distribute the 3|3 × x and 3 × 4","3(x + 4)|= 3×x + 3×4|= 3x + 12","Combining Like Terms","Public Domain","public_domain"
"Factor: 6x + 18","6(x + 3)","expression","7.EE.A.1","7","2","Find GCF of 6 and 18|GCF is 6","6x + 18|= 6(x) + 6(3)|= 6(x + 3)","Combining Like Terms","Public Domain","public_domain"
"Solve: 2x + 5 = 17","6","integer","7.EE.B.4a","7","2","Subtract 5 first|Then divide by 2","2x + 5 = 17|2x = 12|x = 6","Two-Step Equations","Public Domain","public_domain"
"Solve: 3x - 7 = 14","7","integer","7.EE.B.4a","7","2","Add 7 first|Then divide by 3","3x - 7 = 14|3x = 21|x = 7","Two-Step Equations","Public Domain","public_domain"
"Solve: 4x + 9 = 25","4","integer","7.EE.B.4a","7","2","Subtract 9|Divide by 4","4x + 9 = 25|4x = 16|x = 4","Two-Step Equations","Public Domain","public_domain"
"Solve: x/2 - 3 = 5","16","integer","7.EE.B.4a","7","3","Add 3 first|Then multiply by 2","x/2 - 3 = 5|x/2 = 8|x = 16","Two-Step Equations","Public Domain","public_domain"
"Find the circumference of a circle with diameter 10 (use π = 3.14)","31.4","decimal","7.G.B.6","7","2","C = πd|Multiply π by diameter","C = π × d|C = 3.14 × 10|C = 31.4","Area & Circumference","Public Domain","public_domain"
"Find the area of a circle with radius 6 (use π = 3.14)","113.04","decimal","7.G.B.6","7","3","A = πr²|Square radius first","A = π × r²|A = 3.14 × 36|A = 113.04","Area & Circumference","Public Domain","public_domain"
"A circle has circumference 62.8. What is its diameter? (use π = 3.14)","20","integer","7.G.B.6","7","3","C = πd|Solve for d","62.8 = 3.14 × d|d = 62.8 ÷ 3.14|d = 20","Area & Circumference","Public Domain","public_domain"
"Simplify: 3² × 3⁴","729","integer","8.EE.A.1","8","2","Add exponents when multiplying|Same base","3² × 3⁴|= 3^(2+4)|= 3⁶ = 729","Exponent Properties","Public Domain","public_domain"
"Simplify: (2³)²","64","integer","8.EE.A.1","8","2","Multiply exponents for power of power|(2³)² = 2⁶","(2³)²|= 2^(3×2)|= 2⁶ = 64","Exponent Properties","Public Domain","public_domain"
"What is 5⁰?","1","integer","8.EE.A.1","8","1","Any number to the 0 power = 1|Except 0⁰","5⁰ = 1|Any nonzero number to 0 power is 1","Exponent Properties","Public Domain","public_domain"
"Simplify: 4⁵ ÷ 4²","64","integer","8.EE.A.1","8","2","Subtract exponents when dividing|Same base","4⁵ ÷ 4²|= 4^(5-2)|= 4³ = 64","Exponent Properties","Public Domain","public_domain"
"What is √81?","9","integer","8.EE.A.2","8","1","What times itself = 81?|9 × 9 = 81","√81|= 9|because 9² = 81","Square & Cube Roots","Public Domain","public_domain"
"What is √144?","12","integer","8.EE.A.2","8","1","What times itself = 144?|12 × 12 = 144","√144|= 12|because 12² = 144","Square & Cube Roots","Public Domain","public_domain"
"What is ∛64?","4","integer","8.EE.A.2","8","2","What cubed = 64?|4 × 4 × 4 = 64","∛64|= 4|because 4³ = 64","Square & Cube Roots","Public Domain","public_domain"
"What is ∛125?","5","integer","8.EE.A.2","8","2","What cubed = 125?|5 × 5 × 5 = 125","∛125|= 5|because 5³ = 125","Square & Cube Roots","Public Domain","public_domain"
"What is the slope of the line passing through (0,0) and (4,12)?","3","integer","8.EE.B.5","8","2","Slope = rise/run|Slope = (y2-y1)/(x2-x1)","Slope = (12-0)/(4-0)|= 12/4|= 3","Graphing Proportional Relationships","Public Domain","public_domain"
"A line passes through (2,6) and (4,12). What is the slope?","3","integer","8.EE.B.5","8","2","Slope = (y2-y1)/(x2-x1)|Change in y over change in x","Slope = (12-6)/(4-2)|= 6/2|= 3","Graphing Proportional Relationships","Public Domain","public_domain"
"Write the equation of a line with slope 2 and y-intercept 5","y = 2x + 5","expression","8.EE.B.6","8","2","Use y = mx + b|m = slope, b = y-intercept","m = 2, b = 5|y = mx + b|y = 2x + 5","Slope-Intercept Form","Public Domain","public_domain"
"What is the y-intercept of y = 3x - 7?","-7","integer","8.EE.B.6","8","1","In y = mx + b, b is y-intercept|Find the constant term","y = 3x + (-7)|b = -7|y-intercept is -7","Slope-Intercept Form","Public Domain","public_domain"
"What is the slope of y = -4x + 3?","-4","integer","8.EE.B.6","8","1","In y = mx + b, m is slope|Coefficient of x","y = -4x + 3|m = -4|Slope is -4","Slope-Intercept Form","Public Domain","public_domain"
"Solve: 3x + 5 = 2x + 12","7","integer","8.EE.C.7","8","2","Get x terms on one side|Get constants on other","3x - 2x = 12 - 5|x = 7","Solving Linear Equations","Public Domain","public_domain"
"Solve: 5x - 3 = 3x + 7","5","integer","8.EE.C.7","8","2","Subtract 3x from both sides|Add 3 to both sides","5x - 3x = 7 + 3|2x = 10|x = 5","Solving Linear Equations","Public Domain","public_domain"
"Solve: 2(x + 4) = 18","5","integer","8.EE.C.7","8","2","Distribute first|Then solve","2x + 8 = 18|2x = 10|x = 5","Solving Linear Equations","Public Domain","public_domain"
"Solve: 4(x - 2) = 3x + 1","9","integer","8.EE.C.7","8","3","Distribute|Collect like terms","4x - 8 = 3x + 1|4x - 3x = 1 + 8|x = 9","Solving Linear Equations","Public Domain","public_domain"
"Solve the system: y = 2x and y = x + 3","(3, 6)","coordinate","8.EE.C.8","8","3","Set equations equal|2x = x + 3|Solve for x, then y","2x = x + 3|x = 3|y = 2(3) = 6|Solution: (3, 6)","Systems of Equations","Public Domain","public_domain"
"Solve the system: y = x + 1 and y = 3x - 5","(3, 4)","coordinate","8.EE.C.8","8","3","Set equations equal|x + 1 = 3x - 5","x + 1 = 3x - 5|6 = 2x|x = 3|y = 3 + 1 = 4|Solution: (3, 4)","Systems of Equations","Public Domain","public_domain"
"Is the relation {(1,2), (2,4), (3,6), (1,5)} a function?","no","expression","8.F.A.1","8","2","Check if any x-value repeats|With different y-values","x = 1 appears twice|(1,2) and (1,5)|Different y-values|Not a function","Understanding Functions","Public Domain","public_domain"
"If f(x) = 2x + 3, find f(5)","13","integer","8.F.A.1","8","2","Substitute x = 5|Calculate","f(5) = 2(5) + 3|= 10 + 3|= 13","Understanding Functions","Public Domain","public_domain"
"If f(x) = x² - 1, find f(4)","15","integer","8.F.A.1","8","2","Substitute x = 4|Square first, then subtract","f(4) = 4² - 1|= 16 - 1|= 15","Understanding Functions","Public Domain","public_domain"
"Write a function for the cost of n items at $5 each","C(n) = 5n","expression","8.F.B.4","8","2","Cost = price × quantity|C = 5 × n","Cost = $5 × n items|C(n) = 5n","Linear Functions","Public Domain","public_domain"
"A plumber charges $50 plus $30 per hour. Write a function for total cost.","C(h) = 30h + 50","expression","8.F.B.4","8","2","Fixed cost + hourly rate|C = 30h + 50","Base fee: $50|Hourly: $30 × h|C(h) = 30h + 50","Linear Functions","Public Domain","public_domain"
"Find the hypotenuse if legs are 3 and 4","5","integer","8.G.B.7","8","2","Use Pythagorean theorem|a² + b² = c²","3² + 4² = c²|9 + 16 = c²|25 = c²|c = 5","Pythagorean Theorem","Public Domain","public_domain"
